# BGM 索引（由 tools/build_bgm_index.mjs 从 bgm_map.json 生成，请勿手改）
# 格式：类别|文件名|role|loop(1/0)|来源
title|bgm_title_01.mp3|选|0|甘茶の音楽工房
daily|bgm_daily_01.mp3|选|0|魔王魂
daily|bgm_daily_02.mp3|选|1|魔王魂
daily|bgm_daily_03.mp3|备选|1|魔王魂
daily|bgm_daily_04.mp3|备选|1|魔王魂
explore|bgm_explore_01.mp3|选|0|魔王魂
explore|bgm_explore_02.mp3|选|0|魔王魂
explore|bgm_explore_03.mp3|选|1|魔王魂
explore|bgm_explore_04.mp3|选|1|魔王魂
explore|bgm_explore_05.mp3|选|0|魔王魂
tension|bgm_tension_01.mp3|选|0|甘茶の音楽工房
tower|bgm_tower_01.mp3|选|0|魔王魂
tower|bgm_tower_02.mp3|选|1|魔王魂
tower|bgm_tower_03.mp3|备选|0|魔王魂
tower|bgm_tower_04.mp3|备选|0|魔王魂
battle|bgm_battle_01.mp3|选|1|魔王魂
battle|bgm_battle_02.mp3|选|0|魔王魂
battle|bgm_battle_03.mp3|选|0|魔王魂
battle|bgm_battle_04.mp3|选|0|魔王魂
battle|bgm_battle_05.mp3|备选|0|魔王魂
memory|bgm_memory_01.mp3|选|0|甘茶の音楽工房
warm|bgm_warm_01.mp3|选|0|魔王魂
ending|bgm_ending_01.mp3|选|1|魔王魂
bad|bgm_bad_01.mp3|选|0|甘茶の音楽工房
scale|bgm_scale_01.mp3|自动补|1|魔王魂
scale|bgm_scale_02.mp3|自动补|1|魔王魂
scale|bgm_scale_03.mp3|自动补|1|魔王魂
funny|bgm_funny_01.mp3|自动补|1|魔王魂
funny|bgm_funny_02.mp3|自动补|1|魔王魂
funny|bgm_funny_03.mp3|自动补|1|魔王魂
local|bgm_local_01.mp3|自动补|1|魔王魂
local|bgm_local_02.mp3|自动补|1|魔王魂
local|bgm_local_03.mp3|自动补|1|魔王魂
celebration|bgm_celebration_01.mp3|自动补|1|魔王魂
celebration|bgm_celebration_02.mp3|自动补|1|魔王魂
celebration|bgm_celebration_03.mp3|自动补|0|甘茶の音楽工房
